[INFO] [1788235458.912838211] [plain_slam_web_bridge]: display-only bridge: /go2w/slam/map_3d + /go2w/slam/aligned_scan -> /home/mxt/robotscene/outputs/autonomous_search/runtime/slam_map_3d.json (target_frame=pslam_odom, odom_topic=/go2w/slam/odom_base)
[INFO] [1788235464.811856593] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235464.641 target=pslam_odom points=7594 pose=(0.900,-2.496,0.013) dyaw=-0.0002 stationary=True accumulated=3120 dropped=none
[INFO] [1788235470.812099184] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235470.641 target=pslam_odom points=7600 pose=(0.901,-2.496,0.013) dyaw=-0.0001 stationary=True accumulated=3269 dropped=none
[INFO] [1788235476.835733405] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235476.641 target=pslam_odom points=7594 pose=(0.901,-2.496,0.013) dyaw=-0.0002 stationary=True accumulated=3351 dropped=none
[INFO] [1788235482.811003315] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235482.641 target=pslam_odom points=7594 pose=(0.901,-2.496,0.014) dyaw=0.0001 stationary=True accumulated=3409 dropped=none
[INFO] [1788235488.811717901] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235488.640 target=pslam_odom points=7593 pose=(0.902,-2.495,0.013) dyaw=0.0002 stationary=True accumulated=3448 dropped=none
[INFO] [1788235494.811188234] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235494.641 target=pslam_odom points=7593 pose=(0.901,-2.497,0.013) dyaw=0.0001 stationary=True accumulated=3479 dropped=none
[INFO] [1788235500.811381324] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235500.641 target=pslam_odom points=7595 pose=(0.901,-2.497,0.012) dyaw=0.0000 stationary=True accumulated=3505 dropped=none
[INFO] [1788235502.230807872] [plain_slam_web_bridge]: reset marker touched -> cleared accumulated cloud
[INFO] [1788235506.812395207] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235506.641 target=pslam_odom points=7597 pose=(0.901,-2.496,0.013) dyaw=0.0002 stationary=True accumulated=3051 dropped=none
[INFO] [1788235512.812447844] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235512.641 target=pslam_odom points=7598 pose=(0.900,-2.496,0.013) dyaw=-0.0001 stationary=True accumulated=3228 dropped=none
[INFO] [1788235518.812306383] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235518.641 target=pslam_odom points=7596 pose=(0.901,-2.496,0.013) dyaw=-0.0000 stationary=True accumulated=3310 dropped=none
[INFO] [1788235524.813856830] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235524.641 target=pslam_odom points=7597 pose=(0.901,-2.498,0.014) dyaw=0.0001 stationary=True accumulated=3376 dropped=none
[INFO] [1788235530.819503708] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235530.641 target=pslam_odom points=7591 pose=(0.901,-2.496,0.013) dyaw=0.0001 stationary=True accumulated=3409 dropped=none
[INFO] [1788235536.805902280] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235536.641 target=pslam_odom points=7682 pose=(1.047,-3.440,-0.151) dyaw=-0.0023 stationary=False accumulated=3413 dropped=motion_active
[INFO] [1788235542.809919792] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235542.640 target=pslam_odom points=7681 pose=(1.047,-3.464,-0.156) dyaw=-0.0011 stationary=True accumulated=5065 dropped=none
[INFO] [1788235548.813516097] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235548.641 target=pslam_odom points=7684 pose=(1.047,-3.463,-0.157) dyaw=-0.0006 stationary=True accumulated=6612 dropped=none
[INFO] [1788235554.811588470] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235554.640 target=pslam_odom points=7681 pose=(1.048,-3.458,-0.160) dyaw=-0.0004 stationary=True accumulated=6886 dropped=none
[INFO] [1788235560.814965151] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235560.641 target=pslam_odom points=7682 pose=(1.048,-3.457,-0.160) dyaw=-0.0001 stationary=True accumulated=7050 dropped=none
[INFO] [1788235566.814002329] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235566.641 target=pslam_odom points=7683 pose=(1.048,-3.456,-0.160) dyaw=-0.0001 stationary=True accumulated=7120 dropped=none
[INFO] [1788235572.833028495] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235572.640 target=pslam_odom points=7682 pose=(1.048,-3.456,-0.160) dyaw=-0.0000 stationary=True accumulated=7176 dropped=none
[INFO] [1788235578.812616203] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235578.641 target=pslam_odom points=7683 pose=(1.048,-3.456,-0.160) dyaw=0.0001 stationary=True accumulated=7211 dropped=none
[INFO] [1788235584.813496040] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235584.641 target=pslam_odom points=7680 pose=(1.047,-3.456,-0.160) dyaw=0.0000 stationary=True accumulated=7235 dropped=none
[INFO] [1788235590.820122719] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235590.640 target=pslam_odom points=7683 pose=(1.048,-3.456,-0.160) dyaw=0.0002 stationary=True accumulated=7252 dropped=none
[INFO] [1788235596.812150071] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235596.641 target=pslam_odom points=7686 pose=(1.047,-3.455,-0.160) dyaw=-0.0003 stationary=True accumulated=7262 dropped=none
[INFO] [1788235602.813424293] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235602.641 target=pslam_odom points=7682 pose=(1.047,-3.456,-0.160) dyaw=-0.0001 stationary=True accumulated=7272 dropped=none
[INFO] [1788235608.810610508] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235608.641 target=pslam_odom points=7685 pose=(1.047,-3.456,-0.160) dyaw=0.0000 stationary=True accumulated=7286 dropped=none
[INFO] [1788235614.811122751] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235614.641 target=pslam_odom points=7683 pose=(1.047,-3.455,-0.160) dyaw=-0.0003 stationary=True accumulated=7298 dropped=none
[INFO] [1788235620.817855904] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235620.641 target=pslam_odom points=7681 pose=(1.048,-3.456,-0.160) dyaw=0.0000 stationary=True accumulated=7313 dropped=none
